Movies	TV Shows	Books & Literature	TV & Animated	Historical Figures
Movies	200	In Silver Linings Playbook, Pat throws a book through the window at 4am because he hates the ending, gets into a fight at a football game, and goes from excitedly planning dance routines all night to crying and unable to get out of bed due to this condition.	What is bipolar disorder	false
Movies	400	In Black Swan, Nina sees herself in the mirror but her reflection moves independently and attacks her, she pulls a long black feather out of her own skin, and stops eating meals her mother prepares while exercising obsessively due to this condition (or these conditions).	What is psychosis (accept eating disorder or OCD)	false
Movies	600	In Memento, Leonard meets the same person multiple times but introduces himself each time as if they've never met, he forgets he already told someone his story minutes earlier, and must tattoo important facts on his body due to this type of memory loss.	What is anterograde amnesia	false
Movies	800	In Shutter Island, Teddy sees his dead wife Dolores dripping wet and talks to her, believes there's a government conspiracy to lobotomize patients, and has entire conversations with his partner who may not exist. His condition is treated with this class of medications.	What are antipsychotics	false
Movies	1000	In A Beautiful Mind, John Nash has long conversations with his college roommate Charles and works on secret codes for the government—but neither Charles nor the government missions are real. These symptoms are caused by excess activity of this neurotransmitter.	What is dopamine	false
TV Shows	200	In Euphoria, Rue bounces her leg constantly during Mr. Porter's class, shouts out the answer before being called on, starts writing a song but abandons it halfway through, and relapses into using fentanyl despite nearly dying due to this condition (or these conditions).	What is ADHD (accept substance use disorder)	false
TV Shows	400	In Homeland, Carrie covers her entire apartment wall with case files and strings connecting them, goes days without sleeping while tracking Abu Nazir, has rapid pressured speech when briefing Saul, then becomes suicidal and catatonic weeks later due to this condition.	What is bipolar disorder	false
TV Shows	600	Wednesday Addams shows the same blank expression whether her roommate Enid is crying or celebrating, chooses to investigate alone rather than make friends at Nevermore Academy, and spends hours researching serial killers and torture methods consistent with this personality type (or condition).	What is schizoid personality (or autism spectrum disorder)	false
TV Shows	800	In You, Joe watches Beck through her window for hours, breaks into her apartment to smell her sheets and access her laptop, genuinely believes she's sending him secret signals through her writing, and later does the exact same thing with Love Quinn, demonstrating this type of fixed false belief.	What is a delusion (accept erotomania)	false
TV Shows	1000	In House, Dr. House takes multiple Vicodin pills throughout each day, doctor-shops to get extra prescriptions, goes into withdrawal with sweating and shaking when he tries to stop, and continues using despite destroying his relationship with Cuddy. This first-line medication is used to treat his condition and prevent relapse.	What is buprenorphine (accept methadone or naltrexone)	false
Books & Literature	200	In the original Sherlock Holmes stories, he tells Watson "you're not wearing your second-best boots" without realizing this sounds rude, shows zero interest in any romantic relationship, goes days without eating when working on a case, and misses that Watson is trying to tell him about his engagement consistent with this condition.	What is autism spectrum disorder (accept schizoid personality)	false
Books & Literature	400	In Girl, Interrupted, Susanna tells her boyfriend Toby "I love you" one day then screams "get away from me" the next, has a panic attack when Lisa tries to leave Claymoore, and cuts her wrists in the bathroom after a fight with her parents characteristic of this personality disorder.	What is borderline personality disorder	false
Books & Literature	600	In American Psycho, Patrick Bateman gives long speeches about music and skincare with perfect charm at dinner parties, brutally murders a colleague over a business card, feels absolutely nothing about it, and only cares that his card is less impressive than Paul Allen's characteristic of this personality disorder.	What is antisocial personality disorder (or psychopathy)	false
Books & Literature	800	In The Bell Jar, Esther Greenwood stops showering for weeks, can't get out of bed even to eat, loses interest in her writing internship at a magazine, attempts suicide, and then is admitted to a psychiatric hospital where doctors place electrodes on her head in this treatment.	What is electroconvulsive therapy (ECT)	false
Books & Literature	1000	In The Catcher in the Rye, Holden Caulfield has long conversations with his dead brother Allie, becomes convinced that Mr. Antolini is part of a "pervert" conspiracy, and believes everyone at Pencey Prep is a "phony" who's secretly against him. This type of therapy is most effective for these symptoms.	What is cognitive behavioral therapy (CBT) - accept antipsychotic medication	false
TV & Animated	200	Sheldon Cooper from The Big Bang Theory insists on sitting in the same spot on the couch every time, eats Thai food only on Thursdays, can lecture about string theory for hours but doesn't understand when Penny is being sarcastic, and needs Leonard to explain that insulting someone's research is rude consistent with this condition.	What is autism spectrum disorder	false
TV & Animated	400	In Inside Out, Anger flips the control panel and makes Riley yell at her mom over dinner, explodes when Riley's hockey team loses a game, and instantly goes from calm to screaming red when someone cuts in front of them in line characteristic of this disorder.	What is intermittent explosive disorder (accept anger management issues)	false
TV & Animated	600	In Winnie the Pooh, Eeyore responds to Pooh's party invitation by saying "I suppose nobody really wants me there," stands alone in the rain saying "typical," barely lifts his head when friends visit, and responds to birthday presents with "thanks for noticing me" characteristic of this condition.	What is depression (or dysthymia)	false
TV & Animated	800	In Inside Out, after Riley moves to San Francisco, she sits silently at dinner while her parents talk, quits the hockey team she used to love, stops laughing at Bing Bong's jokes, and stares blankly when Joy tries to make her smile. These neurotransmitters are most associated with this condition.	What are serotonin and norepinephrine (accept dopamine)	false
TV & Animated	1000	In Frozen, Elsa accidentally freezes Anna during childhood and then locks herself in her room for years, has a full panic attack during her coronation when people get too close, and runs away to an isolated mountain when she thinks she might hurt someone. If she came to your clinic with panic attacks triggered by social situations, you'd recommend this first-line therapy.	What is cognitive behavioral therapy (CBT) - accept exposure therapy	false
Historical Figures	200	Abraham Lincoln told friends he felt "the most miserable man living," once became so depressed after Ann Rutledge's death that friends removed knives and razors from his room, and described feeling "hollow and desperately sad" even during his presidency due to this condition.	What is depression	false
Historical Figures	400	Vincent van Gogh cut off part of his ear with a razor after an argument with Gauguin, was hospitalized multiple times in asylums in Arles and Saint-Rémy, heard voices and saw swirling patterns that weren't there, and shot himself in a wheat field at age 37 due to this condition.	What is psychosis (accept bipolar disorder or schizophrenia)	false
